"","year","country_code","code_2","country","region","eu_member","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","no_ed_sppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure"
"32","2010","BEL","BE","Belgium","Continental","EU",0.743034362792969,0.752006709575653,0.644007444381714,0.395022958517075,0.665813088417053,0.6505286693573,0.00521132629364729,0.138401657342911,0.259708762168884,0.596678256988525,0.431094527244568,0.373667865991592,0.37327778339386,0.33717679977417,0.410883188247681,0.371650636196136,12.3004319352727,23.0598202824133
"33","2012","BEL","BE","Belgium","Continental","EU",0.77287483215332,0.735103011131287,0.665264904499054,0.287308037281036,0.560637891292572,0.655875265598297,0.00451018009334803,0.0990555062890053,0.263031363487244,0.633402943611145,0.421011358499527,0.374771982431412,0.374421209096909,0.339997053146362,0.397319167852402,0.369424372911453,12.5560966294281,22.4756211918939
"34","2014","BEL","BE","Belgium","Continental","EU",0.705675363540649,0.69810938835144,0.674552738666534,0.425716370344162,0.633751749992371,0.661685049533844,0.00558201037347317,0.103485405445099,0.268481522798538,0.622451066970825,0.426347762346268,0.390213578939438,0.389087408781052,0.350747287273407,0.418636947870255,0.38284957408905,12.7197652504711,23.0121549759433
"35","2016","BEL","BE","Belgium","Continental","EU",0.711502313613892,0.773632824420929,0.67772114276886,0.367140710353851,0.592206478118896,0.661747634410858,0.00382916769012809,0.0834843143820763,0.276676028966904,0.636010468006134,0.43553227186203,0.398704200983047,0.398164629936218,0.35800912976265,0.446135461330414,0.387959480285645,12.3244768155155,23.2351752948959
"36","2018","BEL","BE","Belgium","Continental","EU",0.669840514659882,0.805404365062714,0.672985792160034,0.425716370344162,0.645278930664063,0.673084616661072,0.00524417916312814,0.0924425050616264,0.269248247146606,0.633065044879913,0.42890128493309,0.39312407374382,0.392093181610107,0.349430918693542,0.429997891187668,0.383915334939957,12.2,23.4184486491198
"37","2008","BGR","BG","Bulgaria","Eastern","EU",0.880267679691315,0.579849123954773,0.705915689468384,0.276841670274735,0.791571974754334,0.619055211544037,0.00502045452594757,0.101994425058365,0.415578186511993,0.477406948804855,0.361749827861786,0.189145252108574,0.180886894464493,0.156578436493874,0.185705721378326,0.176385968923569,8.8154674,26.3194419199074
"38","2010","BGR","BG","Bulgaria","Eastern","EU",0.811678767204285,0.707774043083191,0.724872589111328,0.420261651277542,0.774584352970123,0.625496506690979,0.00427783094346523,0.0736343935132027,0.361900001764297,0.560187757015228,0.371587634086609,0.209330871701241,0.199332341551781,0.174675464630127,0.191636547446251,0.20483672618866,9.0476876,26.1435009406667
"39","2012","BGR","BG","Bulgaria","Eastern","EU",0.784604728221893,0.653441190719604,0.803410828113556,0.420261651277542,0.537900924682617,0.6575066447258,0.0129532534629107,0.0496102459728718,0.349806845188141,0.587629675865173,0.397978395223618,0.224423512816429,0.218482881784439,0.197431862354279,0.180776074528694,0.231636941432953,8.6580382,26.4306704234356
"40","2014","BGR","BG","Bulgaria","Eastern","EU",0.811266183853149,0.756250321865082,0.797550320625305,0.542881965637207,0.506902635097504,0.699018597602844,0.010881407186389,0.068433903157711,0.352762281894684,0.567922413349152,0.356776803731918,0.217137932777405,0.20997728407383,0.189193859696388,0.203921109437943,0.212014883756638,9.5132831,25.5363778302593
"41","2016","BGR","BG","Bulgaria","Eastern","EU",0.839949309825897,0.804599165916443,0.77628093957901,0.556003332138062,0.550950229167938,0.688316345214844,0.00833346322178841,0.0537161715328693,0.365879625082016,0.572070717811584,0.345830261707306,0.2134999781847,0.208343118429184,0.186748027801514,0.196116656064987,0.212384507060051,9.0161354,27.1991817552144
"42","2018","BGR","BG","Bulgaria","Eastern","EU",0.915806353092194,0.748277485370636,0.790901482105255,0.556003332138062,0.513030827045441,0.6944540143013,0.00137997115962207,0.059090219438076,0.356644690036774,0.582885086536407,0.327038586139679,0.195427045226097,0.190941318869591,0.17138734459877,0.171555027365685,0.197267308831215,9.5571411,27.2452773163071
